"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Language";"Description";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"META-NORD Acquis Estonian Treebank";"http://hdl.handle.net/11495/D9D1-EE49-223F-3";"78 sentences; 1443 words";"syntactically parsed (constituency); sentence/phrase/word segmentation";"CC-BY 4.0";"Estonian";"This is a subcorpus of the META-NORD Acquis Parallel Treebank.#SEPThe corpus is available for download and online browsing through INESS (CLARINO).";"Download#SEPBrowse";"http://hdl.handle.net/11495/D9D1-EE49-223F-3#SEPhttp://hdl.handle.net/11495/D9D1-EE49-223F-3";;;
"The Finnish Sub-corpus of FiRuLex, Russian-Finnish Comparable Corpus of Legal Texts";"http://urn.fi/urn:nbn:fi:lb-2016042604";"1.5 million tokens";"lemmatised, MSD-tagged";"CC BY-ND";"Finnish";"This is the Finnish subcorpus of <a href="""">FiRuLex, Russian-Finnish Comparable Corpus of Legal Texts</a>, which contains juridical texts in Russian and Finnish.#SEPThe corpus is available for online browsing through the concordancer Korp (FIN-CLARIN distribution)";"Browse";"http://urn.fi/urn:nbn:fi:lb-201407162";;;
"The Finnish Sub-corpus of the JRC-Acquis Multilingual Parallel Corpus, Downloadable Version";"http://urn.fi/urn:nbn:fi:lb-2016042710";"44.1 million tokens";"syntactically parsed (constituency); sentence/phrase/word segmentation";"CC BY";"Finnish";"This is a legal subcorpus of the <a href=""http://urn.fi/urn:nbn:fi:lb-2016042602"">Helsinki Korp Version of the Finnish TreeBank 3</a>.#SEPThe corpus is available for online browsing through the concordancer Korp (FIN-CLARIN distribution) and for download from the Finnish Language Bank.";"Browse#SEPDownload";"http://urn.fi/urn:nbn:fi:lb-2016042709#SEPhttp://urn.fi/urn:nbn:fi:lb-2019102401";;;
"META-NORD Acquis Finnish Treebank";"http://hdl.handle.net/11495/D9D1-FD1D-3174-1";"122 sentences; 1464 words";"syntactically parsed (constituency); sentence/phrase/word segmentation";"CC BY 4.0";"Finnish";"This is a subcorpus of the META-NORD Acquis Parallel Treebank. The corpus is syntactically parsed using the <a href=""http://www.ling.helsinki.fi/kieliteknologia/tutkimus/treebank/sources/FinnTreeBankManual.pdf"">FinnTreeBank 2</a> schema and is available for download and online browsing through INESS (CLARINO).";"Download#SEPBrowse";"http://hdl.handle.net/11495/D9D1-FD1D-3174-1#SEPhttp://hdl.handle.net/11495/D9D1-FD1D-3174-1";;;
"The German Sub-corpus of MULCOLD, Multilingual Parallel Corpus of Legal Texts";"http://urn.fi/urn:nbn:fi:lb-2016042606";"198,035 tokens";;"CC BY-ND";"German";"This corpus, which is a subcorpus of <a href=""http://urn.fi/urn:nbn:fi:lb-201405278"">MULCOLD</a> (see also the <a href=""https://www.clarin.eu/resource-families/parallel-corpora"">Parallel corpora</a> resource family) contains international conventions and treaties.#SEPThe corpus is available for online browsing through the concordancer Korp (FIN-CLARIN Distribution).";"Browse";"http://urn.fi/urn:nbn:fi:lb-2016042606";;;
"Corpus of Judicial Rhetoric: cases of rapes and homicides";"http://hdl.handle.net/11500/CLARIN-EL-0000-0000-6114-C";;;"CC BY-NC-ND 4.0";"Greek";"This corpus consists of transcriptions of defendants’ and witnesses’ speeches in criminal cases of rape, attempted rape, murder, and attempted murder.#SEPThe corpus is available for download from the CLARIN:EL repository.";"Download";"http://hdl.handle.net/11500/CLARIN-EL-0000-0000-6114-C";;;
"META-NORD Acquis Icelandic Treebank";"http://hdl.handle.net/11495/D9D2-09F8-20E3-8";"73 sentences; 1880 words";"syntactically parsed (constituency); sentence/phrase/word segmentation";"CC BY 4.0";"Icelandic";"This is a subcorpus of the META-NORD Acquis Parallel Treebank.#SEPThe corpus is available for download and online browsing through INESS (CLARINO).";"Download#SEPBrowse";"http://hdl.handle.net/11495/D9D2-09F8-20E3-8#SEPhttp://hdl.handle.net/11495/D9D2-09F8-20E3-8";;;
"IGC-Laws-21.05 (The Icelandic Gigaword Corpus: Law, bills and proposals)";"http://hdl.handle.net/20.500.12537/116";"2,2 million sentences ;40,6 milloin words";"lemmatised, MSD-tagged";"CC BY 4.0";"Icelandic";"IGC-Laws is a part of the IGC-project (<a href=""http://hdl.handle.net/20.500.12537/15"">The Icelandic Gigaword Corpus</a>; see also <a href=""https://www.clarin.eu/resource-families/reference-corpora"">CLARIN reference corpora</a>) that aims to collect as much as possible of Icelandic texts that can be published under an open or restricted license. IGC-Laws contains 1) the Icelandic laws, 2) explanatory reports and observations extracted from bills submitted to Althingi, and 3) parliamentary proposals and resolutions. The corpus comes in two formats. One contains the texts untokenized and untagged while the other has been tokenized, PoS-tagged and lemmatized.#SEPThe corpus is available for download from the CLARIN-IS repository.";"Download";"http://hdl.handle.net/20.500.12537/116";;;
"Lithuanian Corpus of the EU Primary and Secondary Law Acts of the Period 2015–2017";"http://hdl.handle.net/20.500.11821/18";"274,460 words";;"CLARIN PUB";"Lithuanian";"This corpus contains primary and secondary European law acts (32 texts) translated into Lithuanian.#SEPThe corpus is available for download from CLARIN-LT.";"Download";"http://hdl.handle.net/20.500.11821/18";;;
"Maltese Acquis Communautaire";"https://hdl.handle.net/21.11129/0000-000B-D4FD-9";"20.9 million tokens";;"MIT (academic)";"Maltese";"This corpus contains selected texts from the <a href=""https://en.wikipedia.org/wiki/Acquis_communautaire"">Acquis Communautaire</a> between the 1950s and today, translated to Maltese.#SEPThe corpus is available for download from PORTULAN.
";"Download";"https://hdl.handle.net/21.11129/0000-000B-D4FD-9";"Steinberger et al. (2006)";"https://aclanthology.org/L06-1196/";
"META-NORD Acquis Norwegian Treebank";"http://hdl.handle.net/11495/D937-A55E-278E-1";"101 sentences; 1862 words";"syntactically parsed (constituency); sentence/phrase/word segmentation";"CC BY 4.0";"Norwegian";"This is a subcorpus of the META-NORD Acquis Parallel Treebank.#SEPThe corpus is available for download and online browsing through INESS (CLARINO).";"Download#SEPBrowse";"http://hdl.handle.net/11495/D937-A55E-278E-1#SEPhttp://hdl.handle.net/11495/D937-A55E-278E-1";;;
"Norwegian Acquis Communautaire";"https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-2/";"14 million words";;"CC BY-NC 4.0";"Norwegian (Bokmål and Nynorsk)";"This corpus contains Norwegian translations of 5414 documents in <a href=""https://en.wikipedia.org/wiki/Acquis_communautaire"">Acquis Communautaire</a>.#SEPThe corpus is available for download from the Norwegian Language Bank.";"Download";"https://www.nb.no/sbfil/tekst/ac_no_txt.tar.gz";;;
"Legal Documents from Norwegian Nynorsk Municipialities";"https://www.nb.no/sprakbanken/en/resource-catalogue/oai-nb-no-sbr-60/";"127 million words";;"CC0 1.0 Universal";"Norwegian (Nynorsk and Bokmål)";"This corpus contains 50,000 legal documents and meeting minutes collected with the web crawler Veidemann. Around 88.5 million words are in Nynork, while the rest are in Bokmal (Bokmål).#SEPThe corpus is available for download from the Norwegian Language Bank.";"Download";"https://www.nb.no/sbfil/tekst/sakspapir_nno/sakspapir_nno_01.tar.gz";;;
"The Russian Sub-corpus of MULCOLD, Multilingual Parallel Corpus of Legal Texts";"http://urn.fi/urn:nbn:fi:lb-2016042607";"198,035 tokens";"lemmatised, MSD-tagged";"CC BY-ND";"Russian";"This corpus, which is a subcorpus of <a href=""http://urn.fi/urn:nbn:fi:lb-201405278"">MULCOLD</a> (see also the <a href=""https://www.clarin.eu/resource-families/parallel-corpora"">Parallel corpora</a> resource family) contains international conventions and treaties.#SEPThe corpus can be accessed online through the concordancer Korp (FIN-CLARIN Distribution).";"Browse";"http://urn.fi/urn:nbn:fi:lb-2016042607";;;
"The Russian Sub-corpus of FiRuLex, Russian-Finnish Comparable Corpus of Legal Texts";"http://urn.fi/urn:nbn:fi:lb-2016042603";"1.2 million tokens";"lemmatised, MSD-tagged";"CC BY-ND";"Russian";"This is the Russian subcorpus of <a href="""">FiRuLex, Russian-Finnish Comparable Corpus of Legal Texts</a>, which contains juridical texts in Russian and Finnish.#SEPThe corpus is available for online browsing through the concordancer Korp (FIN-CLARIN distribution)";"Browse";"http://urn.fi/urn:nbn:fi:lb-2016030901";;;
"META-NORD Acquis Swedish Treebank";"http://hdl.handle.net/11495/D9D3-24E5-429B-9";"102 sentences; 1982 words";"syntactically parsed (constituency); sentence/phrase/word segmentation";"CC BY 4.0";"Swedish";"This is a subcorpus of the META-NORD Acquis Parallel Treebank.#SEPThe corpus is available for download and online browsing through INESS (CLARINO).";"Download#SEPBrowse";"http://hdl.handle.net/11495/D9D3-24E5-429B-9#SEPhttp://hdl.handle.net/11495/D9D3-24E5-429B-9";;;
