"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Licence_URL";"Language";"Description";"Family";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"A parallel corpus collected from the European Constitution";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-258B-A";"3 million tokens";"tokenised, sentence aligned";"Open For Reuse With Restrictions";;"21 languages";"This corpus contains European Constitution documents.#SEPThe corpus is available for download through the CLARIN:el repository.";"Parallel corpora";"Download";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-258B-A";;;
"Europarl Parallel Corpus";"http://hdl.handle.net/11372/LRT-395";"650,000 tokens";"tokenised, sentence aligned";"CC-ZERO";;"21 languages";"This corpus contains debates of the European Parliament from 1996 to 2011.#SEP The corpus is available for download from the corpus webpage.";"Parallel corpora";"Download";"http://www.statmt.org/europarl/";;;
"ECDC Translation Memory";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-24DA-2";"320,000 tokens";"tokenised, sentence aligned";"Open For Reuse With Restrictions";;"Approx. 20 languages";"This corpus contains texts from the public health domain.#SEPThe corpus is available for download from the CLARIN:el repository.";"Parallel corpora";"Download";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-24DA-2";;;
"EMEA Corpus";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-25DB-0";"31 million tokens";"sentence aligned";"Open For Reuse With Restrictions";;"Approx. 20 languages";"This corpus contains documents of the European Medicines Agency.#SEPThe corpus is available for download from the CLARIN:el repository.";"Parallel corpora";"Download";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-25DB-0";;;
"DGT-Translation Memory";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-258C-9";"10.1 million tokens";"tokenised";"Open For Reuse With Restrictions";;"Approx. 20 languages";"This corpus contains legislative texts of the European Legislation.#SEPThe corpus is available for download from the CLARIN:el repository.";"Parallel corpora";"Download";"http://inventory.clarin.gr/resources/browse/dgt-translation-memory/5307a4e499cd11e5b369aa3fc0b846a025030d74a89b4a4695d1a519dc3418ca/";;;
"European Central Bank parallel corpus";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-2590-3";"757 million tokens";"tokenised, sentence aligned";"Open For Reuse With Restrictions";;"19 languages";"This corpus contains texts from the European Central Bank.#SEPThe corpus is available for download from the CLARIN:el repository.";"Parallel corpora";"Download";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-2590-3";;;
"Opus, Helsinki Korp Version";"http://urn.fi/urn:nbn:fi:lb-2015102201";"2.7 billion tokens";"tokenised, sentence aligned";"CC-BY";;"16 languages";"This is a multilingual variant of the OPUS corpus that contains texts in the following languages: Czech, Danish, Dutch, English, Estonian, French, German, Greek, Hungarian, Italian, Polish, Portuguese, Russian, Swedish, Spanish, and Turkish.#SEPThe corpus is available through the concordancer Korp.";"Parallel corpora";"Concordancer#SEPDownload";"http://urn.fi/urn:nbn:fi:lb-2016012101";;;
"MULTEXT-East ""1984"" annotated corpus 4.0";"http://hdl.handle.net/11356/1043";"1.06 million tokens";"tokenised, sentence aligned";"CC-BY";;"11 languages";"This corpus contains George Orwell’s 1984 original novel in English and its translations into the following languages: Bulgarian, Czech, Estonian, Hungarian, Macedonian, Persian, Polish, Romanian, Serbian, Slovak, and Slovenian.#SEPThe corpus is available for download from the CLARIN.SI repository.";"Parallel corpora";"Download";"http://hdl.handle.net/11356/1043";"Erjavec (2012).";"https://www.clarin.eu/resource-families/parallel-corpora#Erjavec%202012";
"ParaCrawl Corpus version 1.0";"http://hdl.handle.net/11372/LRT-2610";;;"CC Zero";;"11 languages";"This corpus contains webcrawled data in the following languages: Czech, Dutch, English, Estonian, Finnish, French, German, Italian, Latvian, Polish, Portuguese, Romanian, Russian, and Spanish.#SEPThe corpus is available for download from LINDAT. Additionally, the 2.0 version of the corpus, which includes six new languages (Irish, Croatian, Maltese, Lithuanian, Hungarian, and Estonian), can be downloaded from the corpus's <a href=""https://paracrawl.eu/releases.html"">dedicated website.</a>";"Parallel corpora";"Download";"http://hdl.handle.net/11372/LRT-2610";;;
"MLCC Multilingual and Parallel Corpora";"https://catalog.elra.info/en-us/repository/browse/ELRA-W0023/";"10.2 million tokens";"tokenised";"ELRA END USER";;"9 language";"This corpus contains articles from the Official Journal of the European Communities from 1986 to 1994 in the following languages: Danish, Dutch, English, French, German, Greek, Italian, Portuguese, and Spanish.#SEPThe corpus is available for download from the ELRA catalogue.";"Parallel corpora";"Download";"https://catalog.elra.info/en-us/repository/browse/ELRA-W0023/";;;
"SETimes";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-2591-2";"43 million tokens";"partially sentence aligned";"CC-BY";;"9 languages";"This corpus contains texts from the setimes.com website.#SEPThe corpus is available for download from the CLARIN:EL repository.";"Parallel corpora";"Download";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-2591-2";"Tyers and Alperen (2010)";"https://www.clarin.eu/resource-families/parallel-corpora#Tyers%20and%20Alperen%202010";
"ACCURAT balanced test corpus for under resourced languages";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-23BD-4";"4,608 sentences";"sentence aligned";"CC-BY";;"7 languages";"This corpus contains texts in Greek, Slovenian, Romanian, Latvian, Estonian, Croatian, and Lithuanian.#SEPThe corpus is available for download from the CLARIN:el repository.";"Parallel corpora";"Download";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-23BD-4";;;
"UFAL Parallel Corpus of North Levantine 1.0";"http://hdl.handle.net/11234/1-5033";"844,200 sentences; 6.2 million words";"sentence aligned";"CC BY-NC-SA 4.0";;"6 languages";"This corpus contains multiparallel sentences in English, French, German, Greek, Spanish, and Standard Arabic.#SEPThe sentences have been selected from the <a href=""http://opus.nlpl.eu/OpenSubtitles2018.php"">OpenSubtitles2018</a> corpus and are manually translated into the North Levantine Arabic language.#SEPThe corpus is available for download from LINDAT.";"Parallel corpora";"Download";"http://hdl.handle.net/11234/1-5033";;;
"Europarl QTLeap WSD/NED corpus";"http://hdl.handle.net/11234/1-1477";"52 million tokens";"tokenised, WSD, NER, CR-tagged";"CC-BY";;"6 languages";"This corpus contains debates of the European Parliament in the following language pairs: Bulgarian-English, Czech-English, Portuguese-English, Spanish-English, and Basque-English.#SEPThe corpus is available for download from LINDAT.";"Parallel corpora";"Download";"http://hdl.handle.net/11234/1-1477";;;
"MultiJur: Multilingual Parallel Corpus of Legal Texts";"https://kitwiki.csc.fi/twiki/bin/view/KitWiki/FinClarinCorpusResourceMultilingualCorpusOfJuridicalTexts";"1.2 million tokens";"paragraph aligned";"CLARIN PUB";;"5 languages";"This corpus contains international conventions and treaties in the following languages: English, Russian, German, Finnish, and Swedish.#SEPThe corpus is available through the concordancer Korp.";"Parallel corpora";"Concordancer";"https://korp.csc.fi/?mode=other_languages#corpus=mulcold_ru.";;;
"GLOSSOLOGIA";"http://hdl.grnet.gr/11500/UOA-0000-0000-257A-E";;;"CC-BY";;"4 languages";"This corpus contains articles from Glossologia, a journal of general and historical Greek linguistics, in French, Greek, English, and German.#SEPThe corpus is available for download from the CLARIN:el repository.";"Parallel corpora";"Download";"http://hdl.grnet.gr/11500/UOA-0000-0000-257A-E";;;
"MULCOLD - Multilingual Corpus of Legal Documents";"http://urn.fi/urn:nbn:fi:lb-201405278";"1.2 million tokens";"tokenised, paragraph aligned, PoS-tagged, lemmatized";"CC-BY";;"4 languages";"This corpus contains international conventions and treaties in Russian, English, Swedish, and Finnish.#SEPThe corpus is available through the concordancer Korp.";"Parallel corpora";"Concordancer";"http://korp.csc.fi/?mode=parallel#?parallel_corpora=fi&corpus=mulcold_fi&cqp_fi=%5B%5D";;;
"SPC - Stockholm Parallel Corpora";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-25D3-8";"1.32 million tokens";"tokenised, sentence aligned";"Open For Reuse With Restrictions";;"4 languages";"This corpus contains legal texts in English, Afrikaans, Chinese, and Greek.#SEPThe corpus is available for download from the CLARIN:el repository.";"Parallel corpora";"Download";"http://hdl.grnet.gr/11500/ATHENA-0000-0000-25D3-8";;;
"Civitas Gentium";"http://hdl.grnet.gr/11500/UOA-0000-0000-2578-0";"31 articles";;"CC-BY";;"3 languages";"This corpus contains scientific papers and book reviews in English, Greek, and French.#SEPThe corpus is available for download from the CLARIN:el repository.";"Parallel corpora";"Download";"http://hdl.grnet.gr/11500/UOA-0000-0000-2578-0";;;
"CRATER 2 Corpus";"https://catalog.elra.info/en-us/repository/browse/ELRA-W0033/";"4 million tokens";"tokenised, morphosyntactically tagged";"ELRA END USER/ELRA VAR";;"3 languages";"This corpus contains texts from the telecommunications domain.#SEPThe corpus is available for download from the ELRA catalogue.";"Parallel corpora";"Download";"https://catalog.elra.info/en-us/repository/browse/ELRA-W0033/";;;
"CsEnVi Pairwise Parallel Corpora";"http://hdl.handle.net/11234/1-1595";"31 million tokens";"tokenised, sentence aligned";"CC-BY";;"3 languages";"This corpus contains TED talks and subtitles from the CLUVI corpus in Vietnamese, Czech, and English.#SEPThe corpus is available for download from LINDAT.";"Parallel corpora";"Download";"http://hdl.handle.net/11234/1-1595";;;
"The DPC – Dutch Parallel Corpus";"http://hdl.handle.net/10032/tm-a2-h3";"10.8 million tokens";"tokenised, sentence aligned";"CLARIN ACA";;"3 languages";"This corpus contains fictional, journalistic, instructive and administrative texts in English, Dutch, and French.#SEPThe corpus is available for download (after registration) from the Dutch Language Institute.";"Parallel corpora";"Download";"http://hdl.handle.net/10032/tm-a2-h3";"Macken et al. (2007).";"https://www.clarin.eu/resource-families/parallel-corpora#Macken%20et%20al.%202007";
"EuroParl-UdS";"http://hdl.handle.net/21.11119/0000-0000-D5EE-4";;"sentence aligned";"CC-BY-NC-SA 4.0";;"3 languages";"The corpus contains parliamentary debates of the European Parliament. A subset is a parallel corpus for the following language combinations: <em>English-German</em> and <em>English-Spanish.</em>#SEPThe corpus is available for download from a CLARIN-D repository. ";"Parallel corpora";"Download";"http://hdl.handle.net/21.11119/0000-0000-D5EE-4";;;
"European Parliament Interpretation Corpus (EPIC)";"https://catalog.elra.info/en-us/repository/browse/ELRA-S0323/";"177,000 tokens";"tokenised, PoS-tagged, lemmatised";"ELRA END USER";;"3 languages";"This corpus contains debates of the European Parliament in Italian, English, and Spanish, with translations in all possible combinations.#SEPThe corpus is available for download from the ELRA catalogue.";"Parallel corpora";"Download";"https://catalog.elra.info/en-us/repository/browse/ELRA-S0323/";;;
"EPIC-UdS";"http://hdl.handle.net/21.11119/0000-0008-F519-8";"350,000 tokens, 20,000 sentences";"tokenised, PoS-tagged, syntactically parsed, speech phenomena";"CC BY-NC-SA 4.0";;"3 languages";"This is a parallel and comparable corpus of speeches held in the European Parliament; the corpus follows the European Parliament Interpreting Corpora tradition of the <a href=""http://hdl.handle.net/11585/132580"">EPIC</a> and <a href=""https://research.flw.ugent.be/en/projects/epicg-european-parliament-interpreting-corpus-ghent-step-further"">EPICG</a> corpora. It contains original speeches from 2008 to 2013 by English, German, and Spanish native speakers and their interpretation (English to and from German; Spanish to English).#SEPAll transcripts in the corpus are based on videos of the <a href=""https://www.europarl.europa.eu/plenary/en/debates-video.html"">European Parliament Proceedings</a> published by the European Parliament.#SEPAnnotation includes typical characteristics of spoken language such as false starts, hesitations and truncated words. To obtain better results for source-target alignment as well as sentence parsing the transcripts were segmented using a main clause approach: compound sentences were segmented separately. For the second version of the corpus, the transcripts were processed clause by clause with the <a href=""https://spacy.io/"">spaCy</a> NLP tools; the data is encoded in CoNLL-U and provides universal PoS tags, fine-grained language-specific PoS tags as well as <a href=""https://universaldependencies.org/"">Universal Dependency</a> syntactic relations. All data was enriched with relevant metadata such as source language, name of original speaker, speech timing, mode of delivery and delivery rate.#SEPThe corpus is available for download from CLARIN-D (Saarland University B-centre).";"Parallel corpora";"Download";"http://hdl.handle.net/21.11119/0000-0008-F519-8";"Przybyl et al. (2022)";"https://langsci-press.org/catalog/book/343";
"MUSA Multilingual Multimodal Corpus";"http://metashare.ilsp.gr:8080/repository/browse/musa-multilingual-multimodal-corpus/9f5d29a263c211e29fc5842b2b6a04d7a2d7266c56224f90ae4cb8f4757bf8ed/";"1.2 million words";"subtitle alignment";"Academic";;"3 languages";"This parallel multimodal corpus contains English, Greek, and French.#SEPThe corpus is distributed by CLARIN:EL.";"Parallel corpora";;;;;
"PANACEA English-French and English-Greek parallel corpus ";"https://catalog.elra.info/en-us/repository/browse/ELRA-W0057/";;;"ELRA END USER";;"3 languages";"This corpus contains environmental and legislative texts in English and their French and Greek translations.#SEPThe corpus is available for download from the ELRA catalogue.";"Parallel corpora";"Download";"https://catalog.elra.info/en-us/repository/browse/ELRA-W0057/";;;
"Polish-Bulgarian-Russian Parallel Corpus";"https://hdl.handle.net/11321/308";"55 texts";;"IS PAS corpora license";;"3 languages";"This corpus is available for download from the CLARIN PL repository.";"Parallel corpora";"Download";"http://hdl.handle.net/11321/308";;;
"UMC 0.1: Czech-Russian-English Multilingual Corpus";"http://hdl.handle.net/11858/00-097C-0000-0001-4909-7";"1.8 million tokens";"tokenised, sentence aligned";"CC-BY";;"3 languages";"This corpus contains news articles and commentaries in Czech, Russian, and English from the Project Syndicate website from 1995 to 2008.#SEPThe corpus is available for download from LINDAT and through the concordancer Korp.";"Parallel corpora";"Concordancer#SEPDownload";"https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=umc_01_enru_en_m#SEPhttp://hdl.handle.net/11858/00-097C-0000-0001-4909-7";;;
