Corpus;Corpus_URL;Size;Annotation;Licence;Language;Description;Buttons;Buttons_URL;Publication;Publication_URL;Note
EMEA Corpus;http://hdl.grnet.gr/11500/ATHENA-0000-0000-25DB-0;;sentence aligned;Open For Reuse With Restrictions;Approx. 20 languages;This corpus contains documents of the European Medicines Agency.#SEPThe corpus is available for download from the CLARIN:el repository.;Download;http://hdl.grnet.gr/11500/ATHENA-0000-0000-25DB-0;;;
DGT-Translation Memory;http://hdl.grnet.gr/11500/ATHENA-0000-0000-258C-9;10.1 million tokens;tokenised;Open For Reuse With Restrictions;Approx. 20 languages;This corpus contains legislative texts of the European Legislation.#SEPThe corpus is available for download from the CLARIN:el repository.;Download;http://inventory.clarin.gr/resources/browse/dgt-translation-memory/5307a4e499cd11e5b369aa3fc0b846a025030d74a89b4a4695d1a519dc3418ca/;;;
European Central Bank parallel corpus;http://hdl.grnet.gr/11500/ATHENA-0000-0000-2590-3;757 million tokens;tokenised, sentence aligned;Open For Reuse With Restrictions;19 languages;This corpus contains texts from the European Central Bank.#SEPThe corpus is available for download from the CLARIN:el repository.;Download;http://hdl.grnet.gr/11500/ATHENA-0000-0000-2590-3;;;
Opus, Helsinki Korp Version;http://metashare.csc.fi/repository/browse/opus-helsinki-korp-version/c7249106789011e5be51005056be118e6c8854207d144cf9bea892cda0b7f1bc/;2.7 billion tokens;tokenised, sentence-aligned;CC-BY;16 languages;This is a multilingual variant of the OPUS corpus that contains texts in the following languages: Czech, Danish, Dutch, English, Estonian, French, German, Greek, Hungarian, Italian, Polish, Portuguese, Russian, Swedish, Spanish, and Turkish.#SEPThe corpus is available through the concordancer Korp.;Concordancer#Download;http://urn.fi/urn:nbn:fi:lb-2016012101;;;
"MULTEXT-East ""1984"" annotated corpus 4.0";http://hdl.handle.net/11356/1043;1.06 million tokens;tokenised, sentence-aligned;CC-BY;11 languages;This corpus contains George Orwell’s 1984 original novel in English and its translations into the following languages: Bulgarian, Czech, Estonian, Hungarian, Macedonian, Persian, Polish, Romanian, Serbian, Slovak, and Slovenian.#SEPThe corpus is available for download from the CLARIN.SI repository.;Download;http://hdl.handle.net/11356/1043;Erjavec (2012).;https://www.clarin.eu/resource-families/parallel-corpora#Erjavec%202012;
ParaCrawl Corpus version 1.0;http://hdl.handle.net/11372/LRT-2610;;;CC Zero;11 languages;This corpus contains webcrawled data in the following languages: Czech, Dutch, English, Estonian, Finnish, French, German, Italian, Latvian, Polish, Portuguese, Romanian, Russian, and Spanish.#SEPThe corpus is available for download from LINDAT. Additionally, the 2.0 version of the corpus, which includes six new languages (Irish, Croatian, Maltese, Lithuanian, Hungarian, and Estonian), can be downloaded from the corpus's <a href=”https://paracrawl.eu/releases.html”>dedicated website.</a>;Download;http://hdl.handle.net/11372/LRT-2610;;;
MLCC Multilingual and Parallel Corpora;https://catalog.elra.info/en-us/repository/browse/mlcc-multilingual-and-parallel-corpora/8bec17e2a9dc11e7a093ac9e1701ca0247ac6cf53a1d45f9b1d24f7ddc7bd444/;10.2 million tokens;tokenised;ELRA END USER;9 language;This corpus contains articles from the Official Journal of the European Communities from 1986 to 1994 in the following languages: Danish, Dutch, English, French, German, Greek, Italian, Portuguese, and Spanish.#SEPThe corpus is available for download from the ELRA catalogue.;Download;http://catalog.elra.info/en-us/repository/browse/mlcc-multilingual-and-parallel-corpora/8bec17e2a9dc11e7a093ac9e1701ca0247ac6cf53a1d45f9b1d24f7ddc7bd444/;;;
ACCURAT balanced test corpus for under resourced languages;http://hdl.grnet.gr/11500/ATHENA-0000-0000-23BD-4;4,608 sentences;;CC-BY;7 languages;This corpus contains texts in Greek, Slovenian, Romanian, Latvian, Estonian, Croatian, and Lithuanian.#SEPThe corpus is available for download from the CLARIN:el repository.;Download;http://hdl.grnet.gr/11500/ATHENA-0000-0000-23BD-4;;;
The CLUVI parallel corpus;http://hdl.handle.net/10230/20051;23 million tokens;tokenised;CC-BY;6 languages;This corpus contains fictional, legal, scientific, computational, legal and administrative texts from 2003 to 2012 in the following language combinations: English-Galician, Galician-Spanish, French-Galician, English-Galician-French-Spanish, and Spanish-Catalan-Basque.#SEPThe corpus is available for download from a dedicated webpage.;Download;http://hdl.handle.net/10230/20051;;;
Europarl QTLeap WSD/NED corpus;http://hdl.handle.net/11234/1-1477;52 million tokens;tokenised, WSD, NER, CR-tagged;CC-BY;6 languages;This corpus contains debates of the European Parliament in the following language pairs: Bulgarian-English, Czech-English, Portuguese-English, Spanish-English, and Basque-English.#SEPThe corpus is available for download from LINDAT.;Download;http://hdl.handle.net/11234/1-1477;;;
MultiJur: Multilingual Parallel Corpus of Legal Texts;https://kitwiki.csc.fi/twiki/bin/view/KitWiki/FinClarinCorpusResourceMultilingualCorpusOfJuridicalTexts;1.2 million tokens;paragraph-aligned;CLARIN PUB;5 languages;This corpus contains international conventions and treaties in the following languages: English, Russian, German, Finnish, and Swedish.#SEPThe corpus is available through the concordancer Korp.;Concordancer;https://korp.csc.fi/?mode=other_languages#corpus=mulcold_ru.;;;
GLOSSOLOGIA;http://hdl.grnet.gr/11500/UOA-0000-0000-257A-E;;;CC-BY;4 languages;This corpus contains articles from Glossologia, a journal of general and historical Greek linguistics, in French, Greek, English, and German.#SEPThe corpus is available for download from the CLARIN:el repository.;Download;http://hdl.grnet.gr/11500/UOA-0000-0000-257A-E;;;
MULCOLD - Multilingual Corpus of Legal Documents;http://metashare.csc.fi/repository/browse/mulcold-multilingual-parallel-corpus-of-legal-texts/f62d2584744811e2bc48005056be118ef26d25fb3a8e42858917cbe270814ff9/;1.2 million tokens;tokenised;CC-BY;4 languages;This corpus contains international conventions and treaties in Russian, English, Swedish, and Finnish.#SEPThe corpus is available through the concordancer Korp.;Concordancer;http://korp.csc.fi/?mode=parallel#?parallel_corpora=fi&corpus=mulcold_fi&cqp_fi=%5B%5D;;;
SPC - Stockholm Parallel Corpora;http://hdl.grnet.gr/11500/ATHENA-0000-0000-25D3-8;1.32 million tokens;tokenised, sentence aligned;Open For Reuse With Restrictions;4 languages;This corpus contains legal texts in English, Afrikaans, Chinese, and Greek.#SEPThe corpus is available for download from the CLARIN:el repository.;Download;http://hdl.grnet.gr/11500/ATHENA-0000-0000-25D3-8;;;
Civitas Gentium;;;;CC-BY;3 languages;This corpus contains scientific papers and book reviews in English, Greek, and French.#SEPThe corpus is available for download from the CLARIN:el repository.;Download;http://hdl.grnet.gr/11500/UOA-0000-0000-2578-0;;;
CRATER 2 Corpus;https://catalog.elra.info/en-us/repository/browse/crater-2-corpus/4877edb6a9db11e7a093ac9e1701ca0251d5e83801de4c15ab1ff891a4086489/;4 million tokens;tokenised, morphosyntactically tagged;ELRA END USER/ELRA VAR;3 languages;This corpus contains texts from the telecommunications domain.#SEPThe corpus is available for download from the ELRA catalogue.;Download;http://catalog.elra.info/en-us/repository/browse/crater-2-corpus/4877edb6a9db11e7a093ac9e1701ca0251d5e83801de4c15ab1ff891a4086489/;;;
CsEnVi Pairwise Parallel Corpora;http://hdl.handle.net/11234/1-1595;31 million tokens;tokenised;CC-BY;3 languages;This corpus contains TED talks and subtitles from the CLUVI corpus in Vietnamese, Czech, and English.#SEPThe corpus is available for download from LINDAT.;Download;http://hdl.handle.net/11234/1-1595;;;
The DPC – Dutch Parallel Corpus;http://hdl.handle.net/11372/LRT-631;10.8 million tokens;tokenised, sentence-aligned;;3 languages;This corpus contains fictional, journalistic, instructive and administrative texts in English, Dutch, and French.#SEPThe corpus is available for download (after registration) from the Dutch Language Institute.;Download;https://ivdnt.org/downloads/taalmaterialen/tstc-dutch-parallel-corpus-niet-commercieel;Macken et al. (2007).;https://www.clarin.eu/resource-families/parallel-corpora#Macken%20et%20al.%202007;
EuroParl-UdS;http://hdl.handle.net/21.11119/0000-0000-D5EE-4;;sentence-aligned;CC-BY-NC-SA 4.0;3 languages;The corpus contains parliamentary debates of the European Parliament. A subset is a parallel corpus for the following language combinations: <em>English-German</em> and <em>English-Spanish.</em>#SEPThe corpus is available for download from a CLARIN-D repository. ;Download;http://hdl.handle.net/21.11119/0000-0000-D5EE-4;;;
European Parliament Interpretation Corpus (EPIC);https://catalog.elra.info/en-us/repository/browse/european-parliament-interpretation-corpus-epic/f13214a2a9e711e7a093ac9e1701ca02d0aa64f224b54427a87e38e3ca23944a/;177,000 tokens;tokenised, PoS-tagged, lemmatised;ELRA END USER;3 languages;This corpus contains debates of the European Parliament in Italian, English, and Spanish, with translations in all possible combinations.#SEPThe corpus is available for download from the ELRA catalogue.;Download;http://catalog.elra.info/en-us/repository/browse/european-parliament-interpretation-corpus-epic/f13214a2a9e711e7a093ac9e1701ca02d0aa64f224b54427a87e38e3ca23944a/;;;
PANACEA English-French and English-Greek parallel corpus ;https://catalog.elra.info/en-us/repository/browse/panacea-english-french-and-english-greek-parallel-corpus-acquired-for-environment-domain/2160e3d2a9e911e7a093ac9e1701ca02431dc8b0b45343468444ccf5ecbda6c7/;;;ELRA END USER;3 languages;This corpus contains environmental and legislative texts in English and their French and Greek translations.#SEPThe corpus is available for download from the ELRA catalogue.;Download;http://catalog.elra.info/en-us/repository/browse/panacea-english-french-and-english-greek-parallel-corpus-acquired-for-environment-domain/2160e3d2a9e911e7a093ac9e1701ca02431dc8b0b45343468444ccf5ecbda6c7/;;;
Polish-Bulgarian-Russian Parallel Corpus;https://hdl.handle.net/11321/308;;;;3 languages;This corpus is available for download from the CLARIN PL repository.;Download;http://hdl.handle.net/11321/308;;;
tekmirion. (issue 5);http://hdl.grnet.gr/11500/IONION-0000-0000-2512-2;;;CC-BY;3 languages;The corpus contains articles from the fifth issue of the scientific Yearbook <em>Tekmirion</em> in English, Greek, and French.#SEPThe corpus is available for download from the Greek repository clarin:el.;Download;http://hdl.grnet.gr/11500/IONION-0000-0000-2512-2;;;
UMC 0.1: Czech-Russian-English Multilingual Corpus;http://hdl.handle.net/11858/00-097C-0000-0001-4909-7;1.8 million tokens;tokenised, sentence-aligned;CC-BY;3 languages;This corpus contains news articles and commentaries in Czech, Russian, and English from the Project Syndicate website from 1995 to 2008.#SEPThe corpus is available for download from LINDAT and through the concordancer Korp.;Concordancer#SEPDownload;https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=umc_01_enru_en_m#SEPhttp://hdl.handle.net/11858/00-097C-0000-0001-4909-7;;;
