Corpus;Corpus_URL;Size;Annotation;Licence;Language;Description;Buttons;Buttons_URL;Publication;Publication_URL;Note
Grundstrukturen: Freiburger Korpus;http://hdl.handle.net/10932/00-0332-C29F-AE56-C501-7;600,000 words, 70 hours;orthographically transcribed, intonation, lemmatised, PoS-tagged, time alignment;CLARIN RES;German;This corpus contains authentic interaction from various domains.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-0332-C29F-AE56-C501-7#SEPhttp://hdl.handle.net/10932/00-0332-C29F-AE56-C501-7;;;
Mehrsprachige Kinder im Vorschulalter;http://hdl.handle.net/10932/00-0372-30C6-B67F-ED01-5;17,000 words, 13 hours;literal and PoS-tagged, lemmatised, time-aligned, orthographically transcribed;CLARIN RES;German;This corpus contains elicitation tasks with pre-school children.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-0372-30C6-B67F-ED01-5#SEPhttp://hdl.handle.net/10932/00-0372-30C6-B67F-ED01-5;;;
Russlanddeutsche Dialekte;http://hdl.handle.net/10932/00-03FA-9D9C-4EEA-BB01-7;100,000 words, 10 hours;literal and PoS-tagged, lemmatised, time-aligned, orthographically transcribed;CLARIN RES;German;This corpus contains interviews in German extraterritorial varieties.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-03FA-9D9C-4EEA-BB01-7#SEPhttp://hdl.handle.net/10932/00-03FA-9D9C-4EEA-BB01-7;;;
Zweite Generation deutschsprachiger Migranten in Israel;http://hdl.handle.net/10932/00-0332-C453-CEDC-B601-2;125 hours;;CLARIN RES;German;This corpus contains interviews in German extraterritorial varieties.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-0332-C453-CEDC-B601-2#SEPhttp://hdl.handle.net/10932/00-0332-C453-CEDC-B601-2;;;
Deutsche Mundarten: Zwirner-Korpus;http://hdl.handle.net/10932/00-0332-D40A-3CEE-B901-4;4 million words, 1076 hours;PoS-tagged, lemmatised, time-aligned, orthographically transcribed;CLARIN RES;German, (some Frisian and Dutch);This corpus contains interviews and elicited speech in German dialects.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-0332-D40A-3CEE-B901-4#SEPhttp://hdl.handle.net/10932/00-0332-D40A-3CEE-B901-4;;;
Deutsche Mundarten: DDR;http://hdl.handle.net/10932/00-0332-BE28-4317-5D01-B;212,000 words, 385 hours;PoS-tagged, lemmatised, time-aligned, orthographically transcribed;CLARIN RES;German, (some Sorbian);This corpus contains interviews and elicited speech in German dialects.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-0332-BE28-4317-5D01-B#SEPhttp://hdl.handle.net/10932/00-0332-BE28-4317-5D01-B;;;
Gesprochene Wissenschaftssprache Kontrastiv;http://hdl.handle.net/10932/00-03BC-7412-E7EA-4101-3;760,000 words, 92 hours;literal and PoS-tagged, lemmatised, time-aligned, orthographically transcribed, annotation of discourse phenomena and language mixing;CLARIN RES;German, English, Polish, Bulgarian;This corpus contains academic interaction.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).;Concordancer#SEPDownload;http://hdl.handle.net/10932/00-03BC-7412-E7EA-4101-3#SEPhttp://hdl.handle.net/10932/00-03BC-7412-E7EA-4101-3;;;
EXMARaLDA Demo Corpus 1.0;http://hdl.handle.net/11022/0000-0000-4F70-A;2 hours;suprasegmental information, accentuation/stress marking;HZSK-PUB (public, non-commercial only);German, English, French, Spanish, Turkish, Polish, Vietnamese, Swedish, Norwegian, Italian, Russian, Afrikaans, Portuguese;"This corpus is a demo of the <a href=""http://exmaralda.org/en/about-exmaralda/"">EXMARaLDA</a> system.#SEPThe corpus is available for download from a CLARIN-D repository.";Download;http://hdl.handle.net/11022/0000-0000-4F70-A;;;
Hamburg Adult Bilingual LAnguage (HABLA);http://hdl.handle.net/11022/0000-0000-5C64-9;79 hours;;HZSK-RES (restricted, non-commercial only);German, French, Italian;This corpus contains interviews.;;;Kupisch et al. (2012);https://www.clarin.eu/resource-families/spoken-corpora#Kupisch%20et%20al.%202012;
Budapest Sociolinguistic Interview - version 2;http://buszi.nytud.hu/;270,000 words;MSD-tagged, spoken language phenomena (hesitation, consonant drops);CLARIN RES;Hungarian;This corpus contains sociolinguistic interviews conducted with 50 individuals.#SEPThe corpus is available for download and through a dedicated concordancer.;Concordancer#SEPDownload;http://buszi.nytud.hu/keresoprogramok#SEPhttp://buszi.nytud.hu/buszi-2-iranyitott-beszelgetesek;Kontra and Váradi (1997);https://www.clarin.eu/resource-families/spoken-corpora#Kontra%201997;
Hungarian Speecon Database;http://metashare.tilde.com/repository/browse/hungarian-speecon-database/9c3954cede7611e2b1e400259011f6ea39dfd520967642e8bd0830d8e08c72f5/;;;ELRA;Hungarian;This corpus contains speech tasks involving adults and children.#SEPThe corpus is available for download from the ELRA catalogue.;Download;http://metashare.tilde.com/repository/browse/hungarian-speecon-database/9c3954cede7611e2b1e400259011f6ea39dfd520967642e8bd0830d8e08c72f5/;;;
The Icelandic Spoken Language Corpus;https://clarin.is/en/resources/spoken/;536,000 tokens;tokenised, PoS-tagged, lemmatised;CC-BY 4.0;Icelandic;This corpus contains four different subcorpora: (1) Spontaneous conversations, from the project ÍSTAL (An Icelandic Spoken Language Bank), (2) Group conversations, from the project MIN (Modern loanwords in the Nordic languages), (3) Parliamentary debates, (4) Conversations of teenagers with other teenagers and adults#SEPThe corpus is available for download from CLARIN-IS (as a part of the <a href="https://clarin.is/en/resources/gigaword/">Icelandic Gigaword Corpus</a>) and for search through the concordancer Korp.;Concordancer#SEPDownload;https://malheildir.arnastofnun.is/?mode=mim#?lang=en&stats_reduce=word&isCaseInsensitive&searchBy=word&cqp=%5B%5D&corpus=mim_talmal#SEPhttp://www.malfong.is/index.php?lang=en&pg=&dlid=95;Steingrímsson et al. (2018);https://www.clarin.eu/resource-families/spoken-corpora#Steingr%C3%ADmsson%20et%20al.%202018;
CLIPS : corpora e lessici di italiano parlato e scritto;http://hdl.handle.net/11372/LRT-865;100 hours;;;Italian;This corpus contains speech from 15 different cities in Italy.;Download;http://www.clips.unina.it/it/corpus.jsp;;;
Mbochi speech corpus;http://catalog.elra.info/en-us/repository/browse/ELRA-S0396/;5000 sentences, 4.5 hours;;ELRA;Mbochi, French;This corpus is available for download from the ELRA catalogue.;Download;http://catalog.elra.info/en-us/repository/browse/ELRA-S0396/;;;
Nepali Spoken Corpus;http://catalog.elra.info/product_info.php?products_id=1219;31 hours 26 minutes;phonetically transcribed;ELRA;Nepali;This corpus is available for download from the ELRA catalogue.;Download;http://catalog.elra.info/product_info.php?products_id=1219;;;
