Corpus,Corpus_URL,Size,Annotation,Licence,Language,Description,Buttons,Buttons_URL,Publication,Publication_URL,Note
Estonian Treebank annotated with coreference relations,http://doi.org/10.15155/1-00-0000-0000-0000-0016AL,"107,000 words",anaphora relations,GPL,Estonian,This corpus contains newspaper texts plus one scientific medical text.#SEPThe corpus is available for download from META-SHARE (CELR distribution).,Download,http://doi.org/10.15155/1-00-0000-0000-0000-0016AL,,,
Semantically disambiguated corpus of Estonian,http://doi.org/10.15155/1-00-0000-0000-0000-00081L,"375,733 tokens",word sense disambiguation,CLARIN ACA,Estonian,The corpus is available for download from META-SHARE (CELR distribution).,Download,http://doi.org/10.15155/1-00-0000-0000-0000-00081L,,,
Greek Coreference Corpus,http://hdl.grnet.gr/11500/ATHENA-0000-0000-25DC-F,"62,988 tokens",coreference,CC-BY-NC-SA,Greek,"In addition to coreference, the corpus is annotated for identity and bridging relations.#SEPIn addition to coreference, the corpus is annotated for identity and bridging relations.",Download,http://hdl.grnet.gr/11500/ATHENA-0000-0000-25DC-F,,,
Greek Textual Entailment Corpus,http://hdl.grnet.gr/11500/ATHENA-0000-0000-23DB-2,600 sentence-pairs,logical entailment,CC-BY,Greek,"This corpus contains texts from the domains of politics, law and travel.#SEPThis corpus is available for download from the clarin:el repository.",Download,http://hdl.grnet.gr/11500/ATHENA-0000-0000-23DB-2,,,
KPWr (Polish Corpus of Wrocław University of Technology) 1.2,http://hdl.handle.net/11321/270,"447,000 tokens","selected predicate-argument relations, relations between named entities, anaphora relations, word senses, events, temporal expressions, spatial relations between entities, keywords and semantic roles within nominal and adjective phrases",CC BY-SA 3.0,Polish,"This corpus contains texts in a variety of domains (blogs, science, stenographic recordings, etc.).#SEPThe corpus is available for download from the CLARIN-PL repository.",Download,http://hdl.handle.net/11321/270,,,
Polish Summaries Corpus,http://zil.ipipan.waw.pl/PolishSummariesCorpus,10845 summaries,summarization,CC BY 3,Polish,This corpus is available for download from the ZIL IPI PAN repository.,Download,http://zil.ipipan.waw.pl/PolishSummariesCorpus,Ogrodniczuk and Kopeć (2014),https://www.clarin.eu/resource-families/manually-annotated-corpora#Ogrodniczuk%20and%20Mateusz%20Kope%C4%87%202014,
WUT Relations Between Sentences Corpus,http://hdl.handle.net/11321/305,5654 sentences,relations between sentences - Cross-document Structure Theory (CST),CC BY-SA 3.0,Polish,This corpus contains news items.#SEPThe corpus is available for download from the CLARIN.PL repository.,Download,http://hdl.handle.net/11321/305,,,
Serbian Twitter training corpus ReLDI-NormTagNER-sr 2.0,http://hdl.handle.net/11356/1171,"92,000 tokens",word normalisation,CC BY 4.0,Serbian,"This corpus contains Tweets. The corpus is morphosyntactically tagged following the <a href=""http://nl.ijs.si/ME/V4/msd/html/index.html"">MULTEXT-East Version 4 tagset</a>.#SEPThe corpus is available through the concordancers KonText and noSketchEngine and for download from the CLARIN.SI repository.",KonText#SEPnoSketch#SEPDownload,https://www.clarin.si/kontext/first_form?corpname=reldi_sr#SEPhttps://www.clarin.si/noske/run.cgi/corp_info?corpname=reldi_sr&struct_attr_stats=1#SEPhttp://hdl.handle.net/11356/1171,Miličević and Ljubešić (2016),https://www.clarin.eu/resource-families/manually-annotated-corpora#milicevic,
CMC training corpus Janes-Tag 2.0,http://hdl.handle.net/11356/1123,"75,000 tokens",word normalisation,CC BY-SA 4.0,Slovenian,"This corpus contains computer-mediated communication (CMC). The corpus is morphosyntactically tagged following the <a href=""http://nl.ijs.si/ME/V5/msd/"">MULTEXT-East Version 5 tagset</a>.#SEPThe corpus is available through the concordancers KonText and noSketchEngine and for download from the CLARIN.SI repository.",KonText#SEPnoSketch#SEPDownload,https://www.clarin.si/kontext/first_form?corpname=janes_tag#SEPhttps://www.clarin.si/noske/run.cgi/corp_info?corpname=janes_tag&struct_attr_stats=1#SEPhttp://hdl.handle.net/11356/1123,Fišer et al. (2018),https://www.clarin.eu/resource-families/manually-annotated-corpora#fiser,
Corpus of comma placement Vejica 1.3,http://hdl.handle.net/11356/1185,"104,000 sentences",comma placement,CC BY-NC-SA 4.0,Slovenian,"This corpus contains texts from various Slovenian corpora (<a href=""http://nl.ijs.si/isjt06/proc/26_Stritar.pdf"">KUST</a>, <a href=""http://www.slovenscina.eu/korpusi/solar"">Šolar</a> a<a href=""http://www.slovenscina.eu/korpusi/lektor"">Lektor</a>m <a href=""http://hdl.handle.net/11356/1088"">JANES-Vejica</a>n Wikpedia.#SEPThe corpus is available for dow.nload from CLARIN.SI.",Download,http://hdl.handle.net/11356/1185,,,
Terminology identification dataset KAS-term 1.0,http://hdl.handle.net/11356/1198,"22,950 term candidates",monolingual term extraction,CC BY-SA 4.0,Slovenian,"This corpus contains term candidates from PhD theses in chemistry, computer science and political science.#SEPThe corpus is available for download from the CLARIN.SI repository.",Download,http://hdl.handle.net/11356/1198,Holozan (2018),https://www.clarin.eu/resource-families/manually-annotated-corpora#Holozan%202018,
Training corpus ssj500k 2.1,http://hdl.handle.net/11356/1181,"586,000 tokens","verbal multiword expression tagging, semantic role labelling",CC BY-NC-SA 4.0,Slovenian,This corpus contains standard Slovenian.#SEPThe corpus is available through the concordancers KonText and noSketchEngine and for download from the CLARIN.SI repository.,KonText#SEPnoSketch#SEPDownload,https://www.clarin.si/kontext/first_form?corpname=ssj500k21#SEPhttps://www.clarin.si/noske/run.cgi/corp_info?corpname=ssj500k21&struct_attr_stats=1#SEPhttp://hdl.handle.net/11356/1181,,,
Bilingual terminology extraction dataset KAS-biterm 1.0,http://hdl.handle.net/11356/1199,"1,950 sentences, 78,500 tokens, 3,700 terms",bi-lingual term extraction,CC BY-SA 4.0,"Slovenian, English",This corpus contains PHD theses.#SEPThe corpus is available for download from the CLARIN.SI repository.,Download,http://hdl.handle.net/11356/1199,,,
Annotated corpora and tools of the PARSEME Shared Task on Automatic Identification of Verbal Multiword Expressions (edition 1.1),http://hdl.handle.net/11372/LRT-2842,5.8 million tokens,"identification of verbal multi-word expressions (idioms, light-verb constructions, verb-particle constructions, inherently reflexive verbs, multi-verb constructions)",PARSEME Shared Task Data (v. 1.1) Agreement,16 languages,"This corpus collection is available for download from LINDAT.#SEPThe PARSEME corpora can be queried individually through <em>KonText</em>. We provide the individual links to each corpus:#SEP<ol>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_cs_a"">Parseme VMWE 1.0 – Czech</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_de_a"">Parseme VMWE 1.0 – German</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_el_a"">Parseme VMWE 1.0 – Greek</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_es_a"">Parseme VMWE 1.0 – Spanish</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_fa_a"">Parseme VMWE 1.0 – Persian</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_fr_a"">Parseme VMWE 1.0 – French</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_hu_a"">Parseme VMWE 1.0 – Hungarian</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_it_a"">Parseme VMWE 1.0 – Italian</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_mt_a"">Parseme VMWE 1.0 – Maltese</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_pl_a"">Parseme VMWE 1.0 – Polish</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_pt_a"">Parseme VMWE 1.0 – Portuguese</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_ro_a"">Parseme VMWE 1.0 – Romanian</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_sl_a"">Parseme VMWE 1.0 – Slovenian</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_sv_a"">Parseme VMWE 1.0 – Swedish</a></li>    <li><a href=""https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=parseme_tr_a"">Parseme VMWE 1.0 – Turkish</a></li>   </ol>",Download,http://hdl.handle.net/11372/LRT-2842,,,
