"Corpus";"Corpus_URL";"Size";"Annotation";"Licence";"Language";"Description";"Buttons";"Buttons_URL";"Publication";"Publication_URL";"Note"
"SmartKom Mobil";"http://hdl.handle.net/11022/1009-0000-0007-EDBB-C";"11 hours";"orthographically transcribed, phonemic, gestures, mimic, emotions";"CLARIN ACA";"German";"This corpus contains multi modal recordings of 73 actors who use the SmartKom system. SmartKom Mobil is a portable PDA equipped with a net link and additional intelligent communication devices. Naive users were asked to test a 'prototype' for a market study not knowing that the system was in fact controlled by two human operators. They were asked to solve two tasks in a period of 4,5 min while they were left alone with the system. The instruction was kept to a minimum; in fact the user only knew that the system is able to understand speech, gestures and should more or less communicate like a human. Experiments were not performed in the field but rather in a studio-like environment.";"Download";"http://hdl.handle.net/11022/1009-0000-0007-EDBB-C";;;
"SmartKom Home";"http://hdl.handle.net/11022/1009-0000-0007-ED38-0";"11 hours";"orthographically transcribed, phonemic, gestures, mimic, emotions";"CLARIN ACA";"German";"This corpus contains multi modal recordings of 65 actors who use the SmartKom system. SmartKom Home should be an intelligent communication assistant for the private environment. Naive users were asked to test a 'prototype' for a market study not knowing that the system was in fact controlled by two human operators. They were asked to solve two tasks in a period of 4,5 min while they were left alone with the system. The instruction was kept to a minimum; in fact the user only knew that the system is able to understand speech, gestures and even mimical expressions and should more or less communicate like a human.";"Download";"http://hdl.handle.net/11022/1009-0000-0007-ED38-0";;;
"Sibilant Production in Cochlear Implant Patients (diachronic data)";"http://hdl.handle.net/11022/1009-0000-0000-A9BB-F";"unknown";"orthographically transcribed";"CLARIN ACA";"German";"This corpus contains diachronic speech recordings from three cochlear implant (CI) users. For data used in the corresponding synchronic study, please refer to the CI_2 corpora.  CI_3_Sibilants contains recordings used for the analysis of /s/ and /ʃ/ in the following words: 'Tasse', 'Tasche'.";"Download";"http://hdl.handle.net/11022/1009-0000-0000-A9BB-F";;;
"Sibilant Production in Cochlear Implant Patients";"http://hdl.handle.net/11022/1009-0000-0001-AEDF-1";"1 hour";"orthographically transcribed";"CLARIN ACA";"German";"This corpous contains German speech recordings of 48 cochlear implant users (CI) and 48 speakers without hearing impairment (control group, KG). CI_2_Sibilants contains recordings used for the analysis of /s/ and /ʃ/ in the following words: 'Tasse', 'Tasche'.";"Download";"http://hdl.handle.net/11022/1009-0000-0001-AEDF-1";;;
"Russlanddeutsche Dialekte";"http://hdl.handle.net/10932/00-03FA-9D9C-4EEA-BB01-7";"100,000 words, 10 hours";"literal and PoS-tagged, lemmatised, time-aligned, orthographically transcribed";"CLARIN RES";"German";"This corpus contains interviews in German extraterritorial varieties.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-03FA-9D9C-4EEA-BB01-7#SEPhttp://hdl.handle.net/10932/00-03FA-9D9C-4EEA-BB01-7";;;
"PhonDat 2";"http://hdl.handle.net/11022/1009-0000-0001-D288-8";"4.3 hours";"orthographically transcribed, phonemic, phonetic";"CLARIN ACA";"German";"The corpus contains read speech of 16 different speakers, 6 women and 10 men. Each speaker reads a corpus of 200 different sentences from a train query task. They were recorded at three different sites in Germany (University of Kiel, University of Bonn, University of Munich). The language is German. The corpus contains a total of 3200 recorded utterances.";"Download";"http://hdl.handle.net/11022/1009-0000-0001-D288-8";;;
"PhonDat 1";"http://hdl.handle.net/11022/1009-0000-0001-D20B-6";"21.4 hours";"orthographically transcribed, phonemic";"CLARIN ACA";"German";"The corpus contains read speech of 201 different speakers. Each speaket read a subcorpus of 450 different sentence equivalents (including alphanumericals and two shorter passages of prose text); 8 speakers read the whole sentence corpus; 40 speakers read the subcorpora BR and MR; 112 speakers read 70 utterances of the rest corpus, including alphabet, numbers 0 to 12 and stories. The corpus contains a total of 21587 recorded utterances.";"Download";"http://hdl.handle.net/11022/1009-0000-0001-D20B-6";;;
"PhattSessionz Adolescents Speech Corpus";"http://hdl.handle.net/11022/1009-0000-0000-CC6A-4";"208 hours";"orthographically transcribed";"CLARIN ACA";"German";"This corpus contains recordings of 1019 adolescent speakers of German (age range 12-20). The recordings were performed via the WWW in public schools (Gymnasium) in 45 locations in Germany. The speech material recorded is a superset of the German SpeechDat-II and RVG-I corpora. ";"Download";"http://hdl.handle.net/11022/1009-0000-0000-CC6A-4";;;
"Nautilus Speaker Characterization";"http://hdl.handle.net/11022/1009-0000-0007-C05F-6";"155 hours";"orthographically transcribed, Turn taking, perceivend inter-personal speaker characteristics, voice descriptions";"CLARIN ACA";"German";"This corpus contains scripted, semi-spontaneous, and spontaneous human-human dialogs. In total, 300 speakers of German without noticeable accent participated and were recorded in an acoustically-isolated room. Interactions between speakers and their interlocutor are provided in separate mono files, accompanied by timestamps and tags that define the speaker's turns. The speech corresponding to one of the semi-spontaneous dialogs was labeled with respect to perceived interpersonal speaker characteristics and naive voice descriptions. These labels are found alongside the documentation.";"Download";"http://hdl.handle.net/11022/1009-0000-0007-C05F-6";;;
"Natural Media Motion-Capture Corpus";"http://hdl.handle.net/11022/1009-0000-0007-C34C-8";"3 hours";"orthographically transcribed, gestures, motion capture of hands";"CLARIN ACA";"German";"The corpus consists of data from 18 participants, whose task was to describe nine objects each to an experimenter, without using everyday vocabulary about forms, sizes or objects. The participants were recorded on audio and several video cameras, and their hand movements were recorded using an optical VICON motion capture system.";"Download";"http://hdl.handle.net/11022/1009-0000-0007-C34C-8";;;
"Mehrsprachige Kinder im Vorschulalter";"http://hdl.handle.net/10932/00-0372-30C6-B67F-ED01-5";"17,000 words, 13 hours";"literal and PoS-tagged, lemmatised, time-aligned, orthographically transcribed";"CLARIN RES";"German";"This corpus contains elicitation tasks with pre-school children.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-0372-30C6-B67F-ED01-5#SEPhttp://hdl.handle.net/10932/00-0372-30C6-B67F-ED01-5";;;
"Hamburg Modern Times Corpus";"http://hdl.handle.net/11022/0000-0000-6973-9";"3 hours";"manual annotation of phonetic phenomena, accent/stress marking";"HZSK-ACA (academic, non-commercial only)";"German";"This corpus contains task-oriented communcation (e.g., a film retelling) in the context of studying adult L2 acquisition.";"Download";"https://hdl.handle.net/11022/0000-0000-6973-9";;;
"Grundstrukturen: Freiburger Korpus";"http://hdl.handle.net/10932/00-0332-C29F-AE56-C501-7";"600,000 words, 70 hours";"orthographically transcribed, intonation, lemmatised, PoS-tagged, time alignment";"CLARIN RES";"German";"This corpus contains authentic interaction from various domains.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-0332-C29F-AE56-C501-7#SEPhttp://hdl.handle.net/10932/00-0332-C29F-AE56-C501-7";;;
"Gesprochenes Wortkorpus für Untersuchungen zur auditiven Verarbeitung von Sprache und emotionaler Prosodie";"http://hdl.handle.net/11022/1009-0000-0007-3D30-F";"3 hours";"phonetic";"CLARIN ACA";"German";"WaSeP contains recordings of one female and one male speaker, both professional actors, uttering single German nouns and pseudowords in multiple emotional prosodies. This edition improves the segmentation of the phonetic annotation, adds Praat TextGrid files and removes a few irregular items.";"Download";"http://hdl.handle.net/11022/1009-0000-0007-3D30-F";;;
"Forschungs- und Lehrkorpus gesprochenes Deutsch";"http://hdl.handle.net/10932/00-0332-C1B2-A5E3-2A01-D";"2.3 million words, 230 hours";"literal and PoS-tagged, lemmatised, time-aligned, orthographically transcribed";"CLARIN RES";"German";"This corpus contains authentic interactions from various domains.#SEPThe corpus is available for download and online browsing via the Database of Spoken German (AGD @ IDS Mannheim).";"Concordancer#SEPDownload";"http://hdl.handle.net/10932/00-0332-C1B2-A5E3-2A01-D#SEPhttp://hdl.handle.net/10932/00-0332-C1B2-A5E3-2A01-D";;;
